"<string>:name","<number>:rare","<number>:{health}:increment","<number>:{health}:obtain","<number>:{stamina}:increment","<number>:{stamina}:obtain","<number>:{attack}:increment","<number>:{attack}:obtain","<number>:{defense}:increment","<number>:{defense}:obtain"
"獵香結花環・一朵","1","30","3","30","3","5","1","10","1"
"硬香結花環・一朵","1","25","2","50","5","2","1","30","3"
"強香結花環・一朵","1","50","5","40","3","3","1","5","1"
"鬼香結花環・一朵","2","25","3","25","3","10","2","10","1"
"獵香結花環・二朵","4","50","5","50","5","10","2","20","2"
"強香結花環・二朵","4","75","8","75","8","5","1","10","1"
"硬香結花環・二朵","4","40","4","75","8","5","1","30","3"
"鬼香結花環・二朵","5","30","2","30","3","15","1","5","1"
"獵香結花環・三朵","6","70","8","70","8","13","2","30","3"
"強香結花環・三朵","6","100","9","90","9","10","2","15","2"
"硬香結花環・三朵","6","50","8","100","10","8","1","40","4"
"鬼香結花環・三朵","6","50","5","90","9","20","4","20","2"
"絕香結花環","7","100","10","70","10","15","2","50","5"
"冥香結花環","7","70","10","100","10","15","2","50","5"
