"<string>:{name}:zhTW","<string>:{name}:jaJP","<string>:{name}:enUS","<string>:{description}:zhTW","<string>:{description}:jaJP","<string>:{description}:enUS","<string>:level","<string>:{effect}:zhTW","<string>:{effect}:jaJP","<string>:{effect}:enUS"
"攻擊","攻撃","Attack Boost","提高玩家的攻擊力。","プレイヤーの攻撃力を上げる。","Increases attack power.","1","攻擊力+3。","攻撃力+3。","Attack +3"
"攻擊","攻撃","Attack Boost","提高玩家的攻擊力。","プレイヤーの攻撃力を上げる。","Increases attack power.","2","攻擊力+6。","攻撃力+6。","Attack +6"
"攻擊","攻撃","Attack Boost","提高玩家的攻擊力。","プレイヤーの攻撃力を上げる。","Increases attack power.","3","攻擊力+9。","攻撃力+9。","Attack +9"
"攻擊","攻撃","Attack Boost","提高玩家的攻擊力。","プレイヤーの攻撃力を上げる。","Increases attack power.","4","攻擊力變為1.05倍、攻擊力+7。","攻撃力を1.05倍し、攻撃力に+7。","Attack +5% Bonus: +7"
"攻擊","攻撃","Attack Boost","提高玩家的攻擊力。","プレイヤーの攻撃力を上げる。","Increases attack power.","5","攻擊力變為1.06倍、攻擊力+8。","攻撃力を1.06倍し、攻撃力に+8。","Attack +6% Bonus: +8"
"攻擊","攻撃","Attack Boost","提高玩家的攻擊力。","プレイヤーの攻撃力を上げる。","Increases attack power.","6","攻擊力變為1.08倍、攻擊力+9。","攻撃力を1.08倍し、攻撃力に+9。","Attack +8% Bonus: +9"
"攻擊","攻撃","Attack Boost","提高玩家的攻擊力。","プレイヤーの攻撃力を上げる。","Increases attack power.","7","攻擊力變為1.1倍、攻擊力+10。","攻撃力を1.1倍し、攻撃力に+10。","Attack +10% Bonus: +10"
"挑戰者","挑戦者","Agitator","若戰鬥中的大型魔物發怒，即會提高攻擊力與會心率。","戦闘中の大型モンスターが怒ると、攻撃力と会心率が上昇する。","Increases attack power and affinity when large monsters become enraged.","1","技能發動時，攻擊力+4會心率+3%。","スキル発動中、攻撃力+4会心率+3%。","Attack +4 and affinity +3% while active."
"挑戰者","挑戦者","Agitator","若戰鬥中的大型魔物發怒，即會提高攻擊力與會心率。","戦闘中の大型モンスターが怒ると、攻撃力と会心率が上昇する。","Increases attack power and affinity when large monsters become enraged.","2","技能發動時，攻擊力+8會心率+5%。","スキル発動中、攻撃力+8会心率+5%。","Attack +8 and affinity +5% while active."
"挑戰者","挑戦者","Agitator","若戰鬥中的大型魔物發怒，即會提高攻擊力與會心率。","戦闘中の大型モンスターが怒ると、攻撃力と会心率が上昇する。","Increases attack power and affinity when large monsters become enraged.","3","技能發動時，攻擊力+12會心率+7%。","スキル発動中、攻撃力+12会心率+7%。","Attack +12 and affinity +7% while active."
"挑戰者","挑戦者","Agitator","若戰鬥中的大型魔物發怒，即會提高攻擊力與會心率。","戦闘中の大型モンスターが怒ると、攻撃力と会心率が上昇する。","Increases attack power and affinity when large monsters become enraged.","4","技能發動時，攻擊力+16會心率+10%。","スキル発動中、攻撃力+16会心率+10%。","Attack +16 and affinity +10% while active."
"挑戰者","挑戦者","Agitator","若戰鬥中的大型魔物發怒，即會提高攻擊力與會心率。","戦闘中の大型モンスターが怒ると、攻撃力と会心率が上昇する。","Increases attack power and affinity when large monsters become enraged.","5","技能發動時，攻擊力+20會心率+15%。","スキル発動中、攻撃力+20会心率+15%。","Attack +20 and affinity +15% while active."
"無傷","フルチャージ","Peak Performance","體力全滿時，攻擊力提升。","体力が最大の時に攻撃力が上がる。","Increases attack when your health is full.","1","技能發動時，攻擊力+5。","スキル発動中、攻撃力+5。","Attack +5 while active."
"無傷","フルチャージ","Peak Performance","體力全滿時，攻擊力提升。","体力が最大の時に攻撃力が上がる。","Increases attack when your health is full.","2","技能發動時，攻擊力+10。","スキル発動中、攻撃力+10。","Attack +10 while active."
"無傷","フルチャージ","Peak Performance","體力全滿時，攻擊力提升。","体力が最大の時に攻撃力が上がる。","Increases attack when your health is full.","3","技能發動時，攻擊力+20。","スキル発動中、攻撃力+20。","Attack +20 while active."
"怨恨","逆恨み","Resentment","體力計量表殘留有紅色部分的期間，攻擊力提升。","体力ゲージに赤い部分がある間攻撃力が上がる。","Increases attack when you have recoverable damage (the red portion of your health gauge).","1","技能發動時，攻擊力+5。","スキル発動中、攻撃力+5。","Attack +5 while active."
"怨恨","逆恨み","Resentment","體力計量表殘留有紅色部分的期間，攻擊力提升。","体力ゲージに赤い部分がある間攻撃力が上がる。","Increases attack when you have recoverable damage (the red portion of your health gauge).","2","技能發動時，攻擊力+10。","スキル発動中、攻撃力+10。","Attack +10 while active."
"怨恨","逆恨み","Resentment","體力計量表殘留有紅色部分的期間，攻擊力提升。","体力ゲージに赤い部分がある間攻撃力が上がる。","Increases attack when you have recoverable damage (the red portion of your health gauge).","3","技能發動時，攻擊力+15。","スキル発動中、攻撃力+15。","Attack +15 while active."
"怨恨","逆恨み","Resentment","體力計量表殘留有紅色部分的期間，攻擊力提升。","体力ゲージに赤い部分がある間攻撃力が上がる。","Increases attack when you have recoverable damage (the red portion of your health gauge).","4","技能發動時，攻擊力+20。","スキル発動中、攻撃力+20。","Attack +20 while active."
"怨恨","逆恨み","Resentment","體力計量表殘留有紅色部分的期間，攻擊力提升。","体力ゲージに赤い部分がある間攻撃力が上がる。","Increases attack when you have recoverable damage (the red portion of your health gauge).","5","技能發動時，攻擊力+25。","スキル発動中、攻撃力+25。","Attack +25 while active."
"死裡逃生","死中に活","Resuscitate","身處狀態異常時會提升攻擊力。","状態異常中は攻撃力が上がる。","Increases attack power when you are suffering from an abnormal status.","1","技能發動時，攻擊力+5。","スキル発動中、攻撃力+5。","Attack +5 while active."
"死裡逃生","死中に活","Resuscitate","身處狀態異常時會提升攻擊力。","状態異常中は攻撃力が上がる。","Increases attack power when you are suffering from an abnormal status.","2","技能發動時，攻擊力+10。","スキル発動中、攻撃力+10。","Attack +10 while active."
"死裡逃生","死中に活","Resuscitate","身處狀態異常時會提升攻擊力。","状態異常中は攻撃力が上がる。","Increases attack power when you are suffering from an abnormal status.","3","技能發動時，攻擊力+20。","スキル発動中、攻撃力+20。","Attack +20 while active."
"看破","見切り","Critical Eye","會心率UP。","会心率がUPする。","Increases affinity.","1","會心率+5%。","会心率+5%。","Affinity +5%"
"看破","見切り","Critical Eye","會心率UP。","会心率がUPする。","Increases affinity.","2","會心率+10%。","会心率+10%。","Affinity +10%"
"看破","見切り","Critical Eye","會心率UP。","会心率がUPする。","Increases affinity.","3","會心率+15%。","会心率+15%。","Affinity +15%"
"看破","見切り","Critical Eye","會心率UP。","会心率がUPする。","Increases affinity.","4","會心率+20%。","会心率+20%。","Affinity +20%"
"看破","見切り","Critical Eye","會心率UP。","会心率がUPする。","Increases affinity.","5","會心率+25%。","会心率+25%。","Affinity +25%"
"看破","見切り","Critical Eye","會心率UP。","会心率がUPする。","Increases affinity.","6","會心率+30%。","会心率+30%。","Affinity +30%"
"看破","見切り","Critical Eye","會心率UP。","会心率がUPする。","Increases affinity.","7","會心率+40%。","会心率+40%。","Affinity +40%"
"超會心","超会心","Critical Boost","增加會心攻擊的傷害。","会心攻撃のダメージが増加する。","Increases the damage of critical hits.","1","會心攻擊時的傷害倍率增強為1.3倍。","会心攻撃時のダメージ倍率を1.3倍に強化する。","Increases damage dealt by critical hits to 30%."
"超會心","超会心","Critical Boost","增加會心攻擊的傷害。","会心攻撃のダメージが増加する。","Increases the damage of critical hits.","2","會心攻擊時的傷害倍率增強為1.35倍。","会心攻撃時のダメージ倍率を1.35倍に強化する。","Increases damage dealt by critical hits to 35%."
