"<string>:{series}:zhTW","<string>:{series}:jaJP","<string>:{series}:enUS","<string>:{name}:zhTW","<string>:{name}:jaJP","<string>:{name}:enUS","<number>:rare","<string>:type","<number>:attack","<number>:criticalRate","<number>:defense","<string>:{element}:{attack}:type","<number>:{element}:{attack}:minValue","<null>:{element}:{attack}:maxValue","<string>:{element}:{status}:type","<number>:{element}:{status}:minValue","<null>:{element}:{status}:maxValue","<number>:{sharpness}:red","<number>:{sharpness}:orange","<number>:{sharpness}:yellow","<number>:{sharpness}:green","<number>:{sharpness}:blue","<number>:{sharpness}:white","<null>:{sharpness}:purple","<number>:[slots]:{0}:size","<number>:[slots]:{1}:size","<number>:[slots]:{2}:size","<number>:{enhance}:amount","<string>:{enhance}:[list]:{0}:name","<string>:{enhance}:[list]:{1}:name","<string>:{enhance}:[list]:{2}:name","<string>:{enhance}:[list]:{3}:name","<string>:{enhance}:[list]:{4}:name","<string>:{enhance}:[list]:{5}:name","<string>:{enhance}:[list]:{6}:name","<string>:{enhance}:[list]:{7}:name","<string>:{enhance}:[list]:{8}:name","<string>:{enhance}:[list]:{9}:name","<string>:{enhance}:[list]:{10}:name","<string>:{enhance}:[list]:{11}:name","<string>:{enhance}:[list]:{12}:name","<string>:{enhance}:[list]:{13}:name","<string>:{enhance}:[list]:{14}:name","<string>:{enhance}:[list]:{15}:name","<string>:{enhance}:[list]:{16}:name","<string>:{enhance}:[list]:{17}:name","<string>:{enhance}:[list]:{18}:name","<string>:{enhance}:[list]:{19}:name","<string>:{enhance}:[list]:{20}:name","<string>:{enhance}:[list]:{21}:name","<string>:{enhance}:[list]:{22}:name","<string>:{enhance}:[list]:{23}:name","<string>:{enhance}:[list]:{24}:name","<string>:{enhance}:[list]:{25}:name","<string>:{enhance}:[list]:{26}:name","<string>:{enhance}:[list]:{27}:name","<string>:{enhance}:[list]:{28}:name","<string>:{enhance}:[list]:{29}:name","<string>:{enhance}:[list]:{30}:name","<string>:{enhance}:[list]:{31}:name","<string>:{enhance}:[list]:{32}:name","<string>:{enhance}:[list]:{33}:name","<string>:{enhance}:[list]:{34}:name"
"神火","カムラノ忍大剣","Great Sword Kamura","神火鐵大劍I","カムラノ鉄大剣I","Kamura Cleaver I","1","greatSword","50","0","0","","","","","","","50","90","100","10","","","","","","","1","攻擊力強化I","會心率強化II","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"神火","カムラノ忍大剣","Great Sword Kamura","神火鐵大劍II","カムラノ鉄大剣II","Kamura Cleaver II","1","greatSword","60","0","0","","","","","","","60","70","110","10","","","","","","","1","攻擊力強化I","會心率強化II","防禦力強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"神火","カムラノ忍大剣","Great Sword Kamura","神火鐵大劍III","カムラノ鉄大剣III","Kamura Cleaver III","2","greatSword","90","0","0","","","","","","","70","70","90","20","","","","","","","1","攻擊力強化I","會心率強化II","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"神火","カムラノ忍大剣","Great Sword Kamura","神火鐵大劍IV","カムラノ鉄大剣IV","Kamura Cleaver IV","3","greatSword","140","0","0","","","","","","","60","80","80","20","20","","","","","","1","攻擊力強化II","會心率強化II","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"神火","カムラノ忍大剣","Great Sword Kamura","神火鐵大劍V","カムラノ鉄大剣V","Kamura Cleaver V","4","greatSword","150","0","0","","","","","","","60","80","90","40","70","10","","2","","","1","操龍達人","會心率強化III","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"神火","カムラノ忍大剣","Great Sword Kamura","神火忍大劍","カムラノ忍大剣","Kamura Ninja Cleaver","5","greatSword","190","0","0","","","","","","","40","90","60","60","80","10","","2","1","","1","操龍達人","會心率強化IV","防禦力強化II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雪鬼獸","ゴシャガズバァ","Great Sword Kamura","雪鬼獸大劍I","ゴシャズバァI","Gossblade I","3","greatSword","170","-15","0","ice","15","","","","","100","30","90","70","10","","","","","","1","屬性強化【冰】I","悔恨一擊","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雪鬼獸","ゴシャガズバァ","Great Sword Kamura","雪鬼獸大劍II","ゴシャズバァII","Gossblade II","5","greatSword","200","-15","0","ice","17","","","","","100","30","110","40","20","","","2","","","1","屬性強化【冰】II","悔恨一擊","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"雪鬼獸","ゴシャガズバァ","Great Sword Kamura","雪鬼獸大斬劍","ゴシャガズバァ","Abominable Great Sword","6","greatSword","230","-15","0","ice","20","","","","","100","30","100","40","70","10","","2","","","1","屬性強化【冰】III","悔恨一擊","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"泡狐龍","あかねさす紫剣の朝斬","Great Sword Kamura","狐大劍東道宿夜花I","狐大剣ハナヤコヨヒノI","Hanayako Yohino I","3","greatSword","110","10","0","water","20","","","","","70","50","40","60","20","","","","","","1","屬性強化【水】I","攻擊力強化II","會心率強化I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
